framenum , queue density , dynamic density
1,0.111519,0.998759
6,0.120009,0.0925125
11,0.134428,0.137531
16,0.137069,0.09585
21,0.133556,0.107444
26,0.141141,0.0914875
31,0.146956,0.085425
36,0.148144,0.0855406
41,0.145725,0.0848562
46,0.141263,0.0947656
51,0.142966,0.0760031
56,0.153537,0.0830281
61,0.162719,0.0894625
66,0.16135,0.0822969
71,0.151784,0.080025
76,0.149784,0.0530969
81,0.151603,0.0447281
86,0.158044,0.0644938
91,0.171987,0.105894
96,0.17075,0.151028
101,0.172425,0.138781
106,0.169584,0.1269
111,0.176412,0.122409
116,0.189022,0.130031
121,0.189653,0.137134
126,0.191659,0.129809
131,0.192172,0.130387
136,0.190378,0.124572
141,0.189725,0.113759
146,0.187772,0.114241
151,0.187294,0.0954344
156,0.185009,0.0816562
161,0.180791,0.0728656
166,0.17995,0.0617562
171,0.1764,0.0669719
176,0.176275,0.0540812
181,0.175869,0.04575
186,0.175425,0.0421906
191,0.175106,0.0341875
196,0.173975,0.0355094
201,0.174466,0.0203688
206,0.174531,0.0134875
211,0.175109,0.01175
216,0.174594,0.0115094
221,0.171541,0.0247125
226,0.171997,0.0112781
231,0.173006,0.00916875
236,0.174644,0.00923437
241,0.171841,0.007725
246,0.171412,0.0185219
251,0.173503,0.0102844
256,0.173622,0.00683125
261,0.173375,0.0068
266,0.173819,0.007075
271,0.171656,0.012375
276,0.171622,0.0077
281,0.1847,0.0211625
286,0.194431,0.0395875
291,0.195231,0.0480594
296,0.189244,0.0512156
301,0.183816,0.0432844
306,0.180775,0.0391875
311,0.181075,0.0350094
316,0.180516,0.0265844
321,0.172703,0.0299125
326,0.171275,0.0196844
331,0.172338,0.0138969
336,0.172416,0.00794062
341,0.174034,0.0077875
346,0.173866,0.02475
351,0.175241,0.0264813
356,0.173731,0.0249906
361,0.174944,0.0229031
366,0.175416,0.0244187
371,0.176228,0.0284219
376,0.178056,0.0240313
381,0.1776,0.0211125
386,0.181438,0.026725
391,0.185091,0.0384813
396,0.186684,0.0526906
401,0.189978,0.0540344
406,0.198791,0.0667219
411,0.220978,0.0927906
416,0.242822,0.122203
421,0.252594,0.163887
426,0.271878,0.168984
431,0.289656,0.178328
436,0.298594,0.183266
441,0.299597,0.178881
446,0.29145,0.201334
451,0.300425,0.182003
456,0.306506,0.1612
461,0.307259,0.159197
466,0.309312,0.14575
471,0.311,0.141847
476,0.313453,0.121841
481,0.313803,0.101716
486,0.315147,0.0947656
491,0.316253,0.0877156
496,0.315506,0.0852031
501,0.31885,0.0719781
506,0.331188,0.0744875
511,0.345244,0.0698656
516,0.353347,0.0835844
521,0.372059,0.126981
526,0.379919,0.110075
531,0.384494,0.107978
536,0.383591,0.0899281
541,0.383575,0.0817
546,0.382241,0.104091
551,0.380925,0.0835719
556,0.377228,0.0640281
561,0.375903,0.0598344
566,0.374025,0.0925844
571,0.369428,0.10705
576,0.376481,0.0877344
581,0.386197,0.0605875
586,0.393975,0.0494938
591,0.40115,0.0453312
596,0.415019,0.086
601,0.429762,0.0648656
606,0.43905,0.0534125
611,0.456966,0.0598313
616,0.464662,0.0606
621,0.477703,0.0894969
626,0.481488,0.0678719
631,0.487156,0.0513281
636,0.491013,0.0502812
641,0.491734,0.0477531
646,0.48805,0.068625
651,0.492484,0.0515625
656,0.4951,0.045825
661,0.497206,0.0465812
666,0.500019,0.0472313
671,0.494144,0.0661625
676,0.496778,0.0542656
681,0.500153,0.0481625
686,0.502275,0.0482281
691,0.503503,0.0416094
696,0.500053,0.0513813
701,0.500794,0.0420969
706,0.502766,0.0348188
711,0.504537,0.0338406
716,0.505322,0.0357656
721,0.502025,0.0473594
726,0.503912,0.0296031
731,0.503372,0.0225813
736,0.503812,0.0169969
741,0.504119,0.0136937
746,0.500703,0.0277375
751,0.502369,0.0154219
756,0.502803,0.00811875
761,0.503044,0.009025
766,0.502012,0.00846562
771,0.499828,0.0306469
776,0.501812,0.0147
781,0.5028,0.00654063
786,0.503575,0.00807187
791,0.504831,0.00995937
796,0.505587,0.0227656
801,0.511131,0.0178344
806,0.511837,0.0178687
811,0.511606,0.0159594
816,0.517122,0.0149094
821,0.525556,0.0296344
826,0.529606,0.0169531
831,0.533653,0.0160062
836,0.532875,0.0102938
841,0.53225,0.00771875
846,0.531706,0.0203906
851,0.531641,0.0113406
856,0.532419,0.00679375
861,0.531881,0.006225
866,0.532416,0.0072
871,0.531691,0.0144688
876,0.532481,0.00893437
881,0.531094,0.0120656
886,0.532428,0.00668125
891,0.532134,0.00429375
896,0.533616,0.00426875
901,0.535059,0.00393438
906,0.532125,0.007475
911,0.533756,0.00445625
916,0.533694,0.00404062
921,0.531459,0.00289688
926,0.531378,0.00230625
931,0.535138,0.00814063
936,0.534597,0.00423125
941,0.535894,0.00786875
946,0.536637,0.00854688
951,0.536531,0.00738438
956,0.535944,0.0100719
961,0.535741,0.00639687
966,0.535594,0.00489688
971,0.536112,0.006275
976,0.535887,0.00717188
981,0.532991,0.0118156
986,0.534875,0.00914062
991,0.535903,0.00556875
996,0.536613,0.005175
1001,0.536963,0.0065625
1006,0.535078,0.0102344
1011,0.531109,0.0138906
1016,0.53115,0.0102469
1021,0.530619,0.0059
1026,0.530059,0.0067625
1031,0.529669,0.00615625
1036,0.526575,0.0105906
1041,0.527056,0.00754687
1046,0.528809,0.00720937
1051,0.529887,0.0078625
1056,0.530369,0.0074
1061,0.525925,0.0112656
1066,0.526731,0.00767813
1071,0.526175,0.00553438
1076,0.527566,0.00497812
1081,0.527312,0.00497187
1086,0.528578,0.0118625
1091,0.529763,0.00938438
1096,0.532181,0.00885937
1101,0.532534,0.00946563
1106,0.5329,0.009625
1111,0.531109,0.0171719
1116,0.530119,0.0122719
1121,0.527822,0.0092375
1126,0.528447,0.0126469
1131,0.529053,0.0147031
1136,0.526972,0.0204344
1141,0.5269,0.0159719
1146,0.526325,0.0140687
1151,0.5252,0.0139469
1156,0.525719,0.0125
1161,0.522391,0.0197156
1166,0.52195,0.0156594
1171,0.522106,0.0117531
1176,0.524012,0.0106531
1181,0.524147,0.00941563
1186,0.525803,0.0158719
1191,0.527831,0.0126187
1196,0.527988,0.0107875
1201,0.529156,0.00736562
1206,0.530028,0.0082
1211,0.530847,0.0132469
1216,0.530553,0.00840938
1221,0.530541,0.00607188
1226,0.530659,0.0063125
1231,0.532575,0.0110125
1236,0.532338,0.0186156
1241,0.534022,0.0164906
1246,0.5329,0.0154375
1251,0.5324,0.0139469
1256,0.532784,0.010625
1261,0.531228,0.0165344
1266,0.531,0.0111094
1271,0.532162,0.0103094
1276,0.535344,0.0122813
1281,0.536809,0.0135312
1286,0.536784,0.0158406
1291,0.537978,0.0131406
1296,0.537547,0.0104937
1301,0.537009,0.00986562
1306,0.53645,0.00956562
1311,0.528288,0.0167
1316,0.527281,0.0112812
1321,0.526456,0.00959687
1326,0.526438,0.0073875
1331,0.526516,0.00539687
1336,0.527528,0.0145688
1341,0.530184,0.0124906
1346,0.530591,0.0114625
1351,0.531513,0.0157188
1356,0.530903,0.0188906
1361,0.530603,0.03035
1366,0.535094,0.0270031
1371,0.533241,0.0230469
1376,0.532144,0.0217938
1381,0.5305,0.0203875
1386,0.525188,0.0277094
1391,0.525531,0.0212594
1396,0.526894,0.0192562
1401,0.527906,0.018225
1406,0.527272,0.0154219
1411,0.521481,0.0254594
1416,0.522837,0.022775
1421,0.524813,0.0271281
1426,0.5279,0.0417187
1431,0.533103,0.0663375
1436,0.534006,0.093825
1441,0.542678,0.112344
1446,0.546294,0.137506
1451,0.552556,0.165497
1456,0.561997,0.189062
1461,0.558353,0.209225
1466,0.564263,0.219859
1471,0.563453,0.30595
1476,0.563666,0.340122
1481,0.556438,0.340375
1486,0.554163,0.359072
1491,0.560297,0.338241
1496,0.561728,0.346587
1501,0.556412,0.356384
1506,0.5615,0.337519
1511,0.553269,0.329722
1516,0.542769,0.358797
1521,0.538822,0.33075
1526,0.520938,0.338872
1531,0.513091,0.351141
1536,0.488241,0.338778
1541,0.487841,0.320219
1546,0.483716,0.340178
1551,0.463531,0.359025
1556,0.456216,0.345181
1561,0.452078,0.369706
1566,0.449331,0.357203
1571,0.446925,0.369672
1576,0.433753,0.40425
1581,0.436506,0.40115
1586,0.433322,0.40685
1591,0.429378,0.404109
1596,0.419538,0.38595
1601,0.419594,0.392278
1606,0.415456,0.414797
1611,0.411225,0.401628
1616,0.395206,0.38235
1621,0.37515,0.377309
1626,0.361747,0.348781
1631,0.355656,0.338103
1636,0.350775,0.34725
1641,0.349872,0.311222
1646,0.342978,0.294616
1651,0.341819,0.288931
1656,0.349841,0.280497
1661,0.347084,0.287834
1666,0.352575,0.288112
1671,0.354741,0.301456
1676,0.377225,0.303678
1681,0.390894,0.329209
1686,0.402525,0.332284
1691,0.426219,0.324894
1696,0.435391,0.337572
1701,0.436628,0.326828
1706,0.452381,0.308447
1711,0.444097,0.307875
1716,0.443872,0.304522
1721,0.441125,0.299491
1726,0.453656,0.293484
1731,0.445759,0.266178
1736,0.398872,0.292103
1741,0.389138,0.266625
1746,0.369447,0.2506
1751,0.334191,0.297516
1756,0.3139,0.301013
1761,0.291056,0.265459
1766,0.273978,0.243106
1771,0.279881,0.237353
1776,0.292191,0.222291
1781,0.283844,0.2049
1786,0.271956,0.212075
1791,0.260003,0.179956
1796,0.242875,0.1625
1801,0.246109,0.179278
1806,0.247284,0.1716
1811,0.225653,0.196813
1816,0.204609,0.167009
1821,0.194884,0.167391
1826,0.189812,0.165316
1831,0.185737,0.169416
1836,0.189691,0.168353
1841,0.190447,0.144322
1846,0.179681,0.138084
1851,0.161812,0.110947
1856,0.149131,0.0998094
1861,0.157713,0.119469
1866,0.147097,0.102181
1871,0.155981,0.114334
1876,0.168606,0.127775
1881,0.200516,0.172781
1886,0.228466,0.231556
1891,0.278681,0.270906
1896,0.298269,0.298966
1901,0.327987,0.321641
1906,0.366922,0.3485
1911,0.356847,0.323547
1916,0.343678,0.301897
1921,0.316053,0.2724
1926,0.2788,0.226744
1931,0.255241,0.192256
1936,0.220941,0.173306
1941,0.200353,0.148544
1946,0.198819,0.134328
1951,0.195284,0.117584
1956,0.1754,0.0861281
1961,0.153491,0.0701625
1966,0.127337,0.0454969
1971,0.104041,0.0277219
1976,0.0868063,0.0152906
1981,0.0874781,0.0143687
1986,0.0820906,0.0215031
1991,0.0819375,0.0166531
1996,0.0816406,0.0144688
2001,0.0835812,0.0233906
2006,0.115769,0.0887344
2011,0.1179,0.176269
2016,0.150163,0.227678
2021,0.162916,0.243122
2026,0.210744,0.260097
2031,0.234434,0.2562
2036,0.224734,0.2182
2041,0.212091,0.17535
2046,0.209272,0.150753
2051,0.205,0.155009
2056,0.176841,0.123303
2061,0.162384,0.105756
2066,0.149566,0.0748469
2071,0.128341,0.0484281
2076,0.107172,0.0266188
2081,0.0906719,0.0133875
2086,0.0860438,0.0134562
2091,0.0852312,0.0112937
2096,0.0854969,0.0112438
2101,0.0998,0.0312875
2106,0.127731,0.0634062
2111,0.159872,0.0923438
2116,0.197266,0.113162
2121,0.220069,0.113116
2126,0.232644,0.132775
2131,0.242991,0.163994
2136,0.236434,0.171209
2141,0.224972,0.1581
2146,0.205722,0.162291
2151,0.196813,0.160706
2156,0.19905,0.173809
2161,0.194481,0.166466
2166,0.192491,0.140331
2171,0.193069,0.122006
2176,0.184422,0.101237
2181,0.167788,0.0832625
2186,0.154144,0.0729969
2191,0.136372,0.0610156
2196,0.117084,0.0412937
2201,0.0996031,0.0263687
2206,0.0913562,0.0170281
2211,0.0827187,0.0108406
2216,0.0797188,0.00632813
2221,0.0798469,0.005625
2226,0.0800187,0.0066
2231,0.080575,0.00732188
2236,0.0804281,0.00719375
2241,0.0818438,0.00730937
2246,0.0819031,0.00871875
2251,0.0821,0.00979688
2256,0.0835219,0.0119188
2261,0.0839375,0.0132906
2266,0.08505,0.0142125
2271,0.0964719,0.0440719
2276,0.113444,0.0636719
2281,0.119834,0.0734937
2286,0.121237,0.0844375
2291,0.123175,0.0905156
2296,0.118741,0.0896187
2301,0.124813,0.0914438
2306,0.129062,0.0927937
2311,0.131119,0.0847312
2316,0.123606,0.0679844
2321,0.117284,0.0600906
2326,0.105737,0.0518375
2331,0.102063,0.0441531
2336,0.0919281,0.0331344
2341,0.0918344,0.0259781
2346,0.0909656,0.0203188
2351,0.08985,0.0196406
2356,0.0860563,0.0198063
2361,0.0828469,0.019125
2366,0.0882406,0.0257531
2371,0.0857094,0.024675
2376,0.0832094,0.017675
2381,0.0834656,0.0146438
2386,0.102016,0.0406188
2391,0.117825,0.0831156
2396,0.119337,0.109372
2401,0.118434,0.103984
2406,0.110225,0.084675
2411,0.112213,0.0709594
2416,0.115684,0.0501531
2421,0.105038,0.0326875
2426,0.0892656,0.0188656
2431,0.0809375,0.0122938
2436,0.0975812,0.0435969
2441,0.0965063,0.0508188
2446,0.0947781,0.0509969
2451,0.0952594,0.054275
2456,0.0921437,0.0557156
2461,0.111353,0.0589688
2466,0.108034,0.0452
2471,0.0952438,0.0297625
